"","tf","n","dist","avg","low","high","group"
"X37","CEBPB",50013,38,-0.119823253322332,-0.122203650329286,-0.117442856315379,"NCAP-SELEX"
"X38","CEBPB",50013,39,-0.117941061343851,-0.120326501829123,-0.11555562085858,"NCAP-SELEX"
"X39","CEBPB",50013,40,-0.115312644853844,-0.117708642963312,-0.112916646744377,"NCAP-SELEX"
"X40","CEBPB",50013,41,-0.112503722352452,-0.11491748106261,-0.110089963642295,"NCAP-SELEX"
"X41","CEBPB",50013,42,-0.109673794087586,-0.11210434801529,-0.107243240159883,"NCAP-SELEX"
"X42","CEBPB",50013,43,-0.106287257285391,-0.108736450287827,-0.103838064282955,"NCAP-SELEX"
"X43","CEBPB",50013,44,-0.103269848460044,-0.105736766827212,-0.100802930092876,"NCAP-SELEX"
"X44","CEBPB",50013,45,-0.10130201813007,-0.103780264284349,-0.0988237719757921,"NCAP-SELEX"
"X45","CEBPB",50013,46,-0.100671742657362,-0.103157037680434,-0.0981864476342894,"NCAP-SELEX"
"X46","CEBPB",50013,47,-0.0999520338901041,-0.102437778925336,-0.0974662888548721,"NCAP-SELEX"
"X47","CEBPB",50013,48,-0.0987444282009347,-0.101230424743696,-0.0962584316581738,"NCAP-SELEX"
"X48","CEBPB",50013,49,-0.0968293801978703,-0.0993217955177935,-0.0943369648779472,"NCAP-SELEX"
"X49","CEBPB",50013,50,-0.0943534788582792,-0.096857138839958,-0.0918498188766004,"NCAP-SELEX"
"X50","CEBPB",50013,51,-0.0912805640367261,-0.0938005009198304,-0.0887606271536218,"NCAP-SELEX"
"X51","CEBPB",50013,52,-0.0879466393990468,-0.0904816502618656,-0.0854116285362281,"NCAP-SELEX"
"X52","CEBPB",50013,53,-0.0848159502763641,-0.0873694759677261,-0.082262424585002,"NCAP-SELEX"
"X53","CEBPB",50013,54,-0.0820753566353987,-0.0846439203606765,-0.079506792910121,"NCAP-SELEX"
"X54","CEBPB",50013,55,-0.0806713675725394,-0.0832494923407639,-0.0780932428043149,"NCAP-SELEX"
"X55","CEBPB",50013,56,-0.080452188572987,-0.083034451734246,-0.077869925411728,"NCAP-SELEX"
"X56","CEBPB",50013,57,-0.0811285769493393,-0.0837070427082316,-0.0785501111904469,"NCAP-SELEX"
"X57","CEBPB",50013,58,-0.0811724159718803,-0.0837425930540833,-0.0786022388896772,"NCAP-SELEX"
"X58","CEBPB",50013,59,-0.0799834104712957,-0.0825490443671009,-0.0774177765754906,"NCAP-SELEX"
"X59","CEBPB",50013,60,-0.078809443080581,-0.0813769003418311,-0.0762419858193309,"NCAP-SELEX"
"X60","CEBPB",50013,61,-0.0774809400974709,-0.08005494963038,-0.0749069305645618,"NCAP-SELEX"
"X61","CEBPB",50013,62,-0.0751120648887813,-0.0776990265407235,-0.0725251032368392,"NCAP-SELEX"
"X62","CEBPB",50013,63,-0.0721672781499369,-0.074770658939338,-0.0695638973605359,"NCAP-SELEX"
"X63","CEBPB",50013,64,-0.0697496663759619,-0.0723688098881703,-0.0671305228637535,"NCAP-SELEX"
"X64","CEBPB",50013,65,-0.0685713484481046,-0.0711968932927274,-0.0659458036034817,"NCAP-SELEX"
"X65","CEBPB",50013,66,-0.0690456787624056,-0.071672057918125,-0.0664192996066861,"NCAP-SELEX"
"X66","CEBPB",50013,67,-0.0701273703593557,-0.0727490501524675,-0.0675056905662438,"NCAP-SELEX"
"X67","CEBPB",50013,68,-0.0712544535962381,-0.0738677706103992,-0.0686411365820771,"NCAP-SELEX"
"X68","CEBPB",50013,69,-0.0715252659978995,-0.0741301750776585,-0.0689203569181406,"NCAP-SELEX"
"X69","CEBPB",50013,70,-0.0708628452428005,-0.0734712438469866,-0.0682544466386144,"NCAP-SELEX"
"X70","CEBPB",50013,71,-0.070117227815396,-0.0727348585178713,-0.0674995971129207,"NCAP-SELEX"
"X71","CEBPB",50013,72,-0.0683453337597325,-0.0709765552130474,-0.0657141123064175,"NCAP-SELEX"
"X72","CEBPB",50013,73,-0.0665184630795105,-0.069161379699844,-0.063875546459177,"NCAP-SELEX"
"X73","CEBPB",50013,74,-0.0654098515988632,-0.0680632824428741,-0.0627564207548522,"NCAP-SELEX"
"X74","CEBPB",50013,75,-0.061088281051535,-0.0637627431897958,-0.0584138189132742,"NCAP-SELEX"
"X75","CEBPB",50013,76,-0.0633514388089989,-0.0660132523674164,-0.0606896252505815,"NCAP-SELEX"
"X76","CEBPB",50013,77,-0.063024757482495,-0.0656821827833389,-0.0603673321816511,"NCAP-SELEX"
"X77","CEBPB",50013,78,-0.0660146981941388,-0.0686478811020197,-0.0633815152862579,"NCAP-SELEX"
"X78","CEBPB",50013,79,-0.0671463459964965,-0.0697624188755667,-0.0645302731174262,"NCAP-SELEX"
"X79","CEBPB",50013,80,-0.070945540191213,-0.0735464023701536,-0.0683446780122725,"NCAP-SELEX"
"X80","CEBPB",50013,81,-0.0747271763950585,-0.0773135908837615,-0.0721407619063554,"NCAP-SELEX"
"X81","CEBPB",50013,82,-0.0821192626995285,-0.0846984739076613,-0.0795400514913957,"NCAP-SELEX"
"X82","CEBPB",50013,83,-0.0863585028883217,-0.0889291884862729,-0.0837878172903705,"NCAP-SELEX"
"X83","CEBPB",50013,84,-0.104058089655642,-0.10655617571208,-0.101560003599205,"NCAP-SELEX"
"X84","CEBPB",50013,85,-0.109916864777305,-0.112384883075239,-0.10744884647937,"NCAP-SELEX"
"X85","CEBPB",50013,86,-0.127110914559103,-0.129500720728993,-0.124721108389213,"NCAP-SELEX"
"X86","CEBPB",50013,87,-0.141529831099837,-0.143833287354872,-0.139226374844802,"NCAP-SELEX"
"X87","CEBPB",50013,88,-0.147560821842861,-0.14980852579504,-0.145313117890681,"NCAP-SELEX"
"X88","CEBPB",50013,89,-0.144330995615412,-0.146572408954489,-0.142089582276335,"NCAP-SELEX"
"X89","CEBPB",50013,90,-0.148507243623511,-0.150742734903867,-0.146271752343154,"NCAP-SELEX"
"X90","CEBPB",50013,91,-0.159961093517133,-0.162148568103315,-0.157773618930951,"NCAP-SELEX"
"X91","CEBPB",50013,92,-0.171865937988488,-0.174008605352206,-0.169723270624769,"NCAP-SELEX"
"X92","CEBPB",50013,93,-0.174161735438505,-0.17631811577752,-0.172005355099491,"NCAP-SELEX"
"X93","CEBPB",50013,94,-0.18600534562196,-0.188140961766735,-0.183869729477186,"NCAP-SELEX"
"X94","CEBPB",50013,95,-0.19124227335108,-0.193361461490765,-0.189123085211396,"NCAP-SELEX"
"X95","CEBPB",50013,96,-0.195039708803232,-0.197218247862042,-0.192861169744422,"NCAP-SELEX"
"X96","CEBPB",50013,97,-0.201175810228594,-0.203328482465981,-0.199023137991208,"NCAP-SELEX"
"X97","CEBPB",50013,98,-0.185216670411985,-0.187374809057123,-0.183058531766846,"NCAP-SELEX"
"X01","CEBPB",5378,1,-0.28037023294279,-0.285868307027119,-0.274872158858461,"Nucleosome-SELEX"
"X110","CEBPB",5378,2,-0.288822657950397,-0.294213396823616,-0.283431919077178,"Nucleosome-SELEX"
"X210","CEBPB",5378,3,-0.290426280214176,-0.295901267242314,-0.284951293186038,"Nucleosome-SELEX"
