"","tf","n","dist","avg","low","high","group"
"X93143","TCF12",27564,94,-0.181864480391118,-0.184780367162622,-0.178948593619614,"NCAP-SELEX"
"X94143","TCF12",27564,95,-0.187955413968711,-0.190842408621968,-0.185068419315454,"NCAP-SELEX"
"X95143","TCF12",27564,96,-0.19111301250272,-0.194082028635786,-0.188143996369653,"NCAP-SELEX"
"X96143","TCF12",27564,97,-0.198717537153529,-0.201641138038353,-0.195793936268705,"NCAP-SELEX"
"X97143","TCF12",27564,98,-0.185264569526853,-0.188183302530258,-0.182345836523447,"NCAP-SELEX"
"X0144","ETV4",25650,1,-0.293083104228436,-0.295623759712049,-0.290542448744822,"NCAP-SELEX"
"X1806","ETV4",25650,2,-0.287432481353179,-0.289994069283699,-0.28487089342266,"NCAP-SELEX"
"X2806","ETV4",25650,3,-0.289310855108623,-0.2919542607726,-0.286667449444646,"NCAP-SELEX"
"X3806","ETV4",25650,4,-0.274178271384711,-0.276806353740841,-0.271550189028581,"NCAP-SELEX"
"X4806","ETV4",25650,5,-0.275274353576442,-0.277924077106134,-0.272624630046749,"NCAP-SELEX"
"X5806","ETV4",25650,6,-0.252493125980801,-0.255203530105124,-0.249782721856478,"NCAP-SELEX"
"X6806","ETV4",25650,7,-0.240177647758042,-0.242971167290302,-0.237384128225782,"NCAP-SELEX"
"X7806","ETV4",25650,8,-0.230004377015398,-0.232837001101197,-0.2271717529296,"NCAP-SELEX"
"X8806","ETV4",25650,9,-0.220006611109502,-0.222902059769004,-0.217111162449999,"NCAP-SELEX"
"X9804","ETV4",25650,10,-0.203647835739416,-0.206665357063907,-0.200630314414925,"NCAP-SELEX"
"X10144","ETV4",25650,11,-0.207744598703223,-0.210778841577983,-0.204710355828464,"NCAP-SELEX"
"X11183","ETV4",25650,12,-0.2001979017443,-0.203309349385424,-0.197086454103177,"NCAP-SELEX"
"X12160","ETV4",25650,13,-0.195808358789846,-0.19900675468952,-0.192609962890172,"NCAP-SELEX"
"X13147","ETV4",25650,14,-0.19334690745555,-0.196532641828817,-0.190161173082284,"NCAP-SELEX"
"X14144","ETV4",25650,15,-0.181162484696912,-0.184417102840177,-0.177907866553647,"NCAP-SELEX"
"X15144","ETV4",25650,16,-0.168922686833651,-0.17219943316902,-0.165645940498282,"NCAP-SELEX"
"X16144","ETV4",25650,17,-0.153468026455192,-0.156807208012594,-0.150128844897791,"NCAP-SELEX"
"X17144","ETV4",25650,18,-0.136050598367007,-0.139482649039105,-0.132618547694909,"NCAP-SELEX"
"X18144","ETV4",25650,19,-0.119602246622562,-0.123106535586314,-0.116097957658811,"NCAP-SELEX"
"X19144","ETV4",25650,20,-0.113735742759837,-0.117289247280564,-0.11018223823911,"NCAP-SELEX"
"X20144","ETV4",25650,21,-0.102299942774914,-0.105918443817632,-0.0986814417321961,"NCAP-SELEX"
"X21183","ETV4",25650,22,-0.104232027513598,-0.107834334139174,-0.100629720888021,"NCAP-SELEX"
"X22160","ETV4",25650,23,-0.0996905776952255,-0.103309418248685,-0.0960717371417664,"NCAP-SELEX"
"X23147","ETV4",25650,24,-0.10353701524145,-0.107102330335451,-0.099971700147449,"NCAP-SELEX"
"X24144","ETV4",25650,25,-0.103375310947336,-0.10689651912202,-0.0998541027726519,"NCAP-SELEX"
"X25144","ETV4",25650,26,-0.104035572902649,-0.107517361812883,-0.100553783992414,"NCAP-SELEX"
"X26144","ETV4",25650,27,-0.102254663564779,-0.105710714942668,-0.0987986121868904,"NCAP-SELEX"
"X27144","ETV4",25650,28,-0.101480162097433,-0.104918467480021,-0.0980418567148454,"NCAP-SELEX"
"X28144","ETV4",25650,29,-0.100016257018813,-0.103448871449595,-0.0965836425880317,"NCAP-SELEX"
