"","tf","n","dist","avg","low","high","group"
"X438","ALB1",425117,44,-0.327396237837664,-0.328050959815923,-0.326741515859406,"45"
"X448","ALB1",425117,45,-0.347470919548235,-0.348095400298634,-0.346846438797836,"45"
"X458","ALB1",425117,46,-0.37933964744578,-0.379946725173637,-0.378732569717923,"45"
"X468","ALB1",425117,47,-0.399458381960512,-0.400056790342741,-0.398859973578283,"45"
"X478","ALB1",425117,48,-0.391645445138757,-0.392265730453828,-0.391025159823686,"45"
"X488","ALB1",425117,49,-0.434364794559521,-0.434963762200453,-0.433765826918589,"45"
"X498","ALB1",425117,50,-0.43380555053516,-0.43439030831571,-0.43322079275461,"45"
"X508","ALB1",425117,51,-0.415837228571609,-0.416461616522534,-0.415212840620683,"45"
"X5112","ALB1",425117,52,-0.436519879835902,-0.437071592790835,-0.435968166880969,"45"
"X5210","ALB1",425117,53,-0.419996853320408,-0.420571330136714,-0.419422376504102,"45"
"X538","ALB1",425117,54,-0.423919736694842,-0.424447390290752,-0.423392083098931,"45"
"X548","ALB1",425117,55,-0.442968562987428,-0.443477647692855,-0.442459478282,"45"
"X558","ALB1",425117,56,-0.411544453132585,-0.412018367760742,-0.411070538504428,"45"
"X568","ALB1",425117,57,-0.409562283694176,-0.4099919175783,-0.409132649810051,"45"
"X578","ALB1",425117,58,-0.402412679702785,-0.40279328877292,-0.402032070632649,"45"
"X588","ALB1",425117,59,-0.398891515834029,-0.399232647199783,-0.398550384468274,"45"
"X598","ALB1",425117,60,-0.399071063057547,-0.399370987483536,-0.398771138631559,"45"
"X608","ALB1",425117,61,-0.36091462406848,-0.361165072486371,-0.360664175650589,"45"
"X6112","ALB1",425117,62,-0.374211469875359,-0.374427820163961,-0.373995119586757,"45"
"X6210","ALB1",425117,63,-0.402071522547412,-0.402225394408317,-0.401917650686506,"45"
"X638","ALB1",425117,64,-0.36244485808961,-0.362577971575503,-0.362311744603717,"45"
"X648","ALB1",425117,65,-0.394087683638939,-0.394188407553515,-0.393986959724363,"45"
"X658","ALB1",425117,66,-0.40044784740583,-0.400543758260378,-0.400351936551282,"45"
"X668","ALB1",425117,67,-0.36410032218093,-0.364189720270068,-0.364010924091791,"45"
"X678","ALB1",425117,68,-0.386919393233722,-0.387004239701109,-0.386834546766335,"45"
"X688","ALB1",425117,69,-0.401843744395279,-0.401923705877525,-0.401763782913033,"45"
"X698","ALB1",425117,70,-0.415263480580315,-0.415339707967659,-0.41518725319297,"45"
"X708","ALB1",425117,71,-0.4080144085489,-0.408087919563152,-0.407940897534648,"45"
"X7112","ALB1",425117,72,-0.409134915576172,-0.409202723654315,-0.409067107498029,"45"
"X7210","ALB1",425117,73,-0.450731780008702,-0.450796823691865,-0.450666736325538,"45"
"X738","ALB1",425117,74,-0.462668120106324,-0.462737494564009,-0.462598745648639,"45"
"X748","ALB1",425117,75,-0.477554011291761,-0.477626105502092,-0.47748191708143,"45"
"X758","ALB1",425117,76,-0.530455907680016,-0.530535601228223,-0.530376214131809,"45"
"X768","ALB1",425117,77,-0.540720578572712,-0.540800354893754,-0.54064080225167,"45"
"X778","ALB1",425117,78,-0.540203704424629,-0.540284237840449,-0.540123171008809,"45"
"X788","ALB1",425117,79,-0.537192821065191,-0.537269580946131,-0.537116061184251,"45"
"X798","ALB1",425117,80,-0.541436231478193,-0.54150923470939,-0.541363228246995,"45"
"X808","ALB1",425117,81,-0.532036299355569,-0.532109571879732,-0.531963026831405,"45"
"X8112","ALB1",425117,82,-0.510789771491815,-0.510868459802552,-0.510711083181078,"45"
"X8210","ALB1",425117,83,-0.512876913740651,-0.512962305398784,-0.512791522082518,"45"
"X838","ALB1",425117,84,-0.497820142128328,-0.497932412742772,-0.497707871513883,"45"
"X848","ALB1",425117,85,-0.447201712063757,-0.447335320168009,-0.447068103959505,"45"
"X858","ALB1",425117,86,-0.452262599913626,-0.452407218685688,-0.452117981141563,"45"
"X868","ALB1",425117,87,-0.438440439829513,-0.438602651512451,-0.438278228146575,"45"
"X878","ALB1",425117,88,-0.411501625562006,-0.411672730181196,-0.411330520942816,"45"
"X888","ALB1",425117,89,-0.395236677327509,-0.395415822787461,-0.395057531867558,"45"
"X898","ALB1",425117,90,-0.328374874938978,-0.328596378825196,-0.328153371052759,"45"
"X908","ALB1",425117,91,-0.277947049134489,-0.278195323387809,-0.277698774881169,"45"
"X9111","ALB1",425117,92,-0.252611286279785,-0.252894116864315,-0.252328455695255,"45"
"X929","ALB1",425117,93,-0.244428391837242,-0.244720242059588,-0.244136541614896,"45"
"X938","ALB1",425117,94,-0.201581595745723,-0.201899682316683,-0.201263509174763,"45"
"X948","ALB1",425117,95,-0.192498021549385,-0.192823369499376,-0.192172673599394,"45"
"X958","ALB1",425117,96,-0.212372830276026,-0.212684856223207,-0.212060804328846,"45"
"X968","ALB1",425117,97,-0.199326952464033,-0.199670708097122,-0.198983196830945,"45"
"X978","ALB1",425117,98,-0.227116735279371,-0.227469370950357,-0.226764099608385,"45"
"X09","ALB1",332578,1,-0.128172554331434,-0.128316639658227,-0.12802846900464,"48"
"X130","ALB1",332578,2,-0.0890049339105059,-0.0891693230726935,-0.0888405447483184,"48"
"X230","ALB1",332578,3,-0.0848282699740403,-0.0850226823771319,-0.0846338575709488,"48"
"X330","ALB1",332578,4,-0.064279831303709,-0.0644919258396392,-0.0640677367677788,"48"
"X430","ALB1",332578,5,-0.0540598145954698,-0.0542852504154818,-0.0538343787754578,"48"
"X530","ALB1",332578,6,-0.0504197743176637,-0.0506654959426645,-0.0501740526926629,"48"
"X630","ALB1",332578,7,-0.0656398842971398,-0.0659091237421765,-0.065370644852103,"48"
"X730","ALB1",332578,8,-0.070129179381373,-0.0704358921150645,-0.0698224666476814,"48"
"X830","ALB1",332578,9,-0.0789911803953037,-0.079329428717964,-0.0786529320726433,"48"
"X930","ALB1",332578,10,-0.0823505047321513,-0.0827254745288959,-0.0819755349354068,"48"
"X109","ALB1",332578,11,-0.0908076049900259,-0.0911779843459101,-0.0904372256341418,"48"
