Corr_coeff	first_sample	second_sample
0.849104586181798	NCP-NRCAM-OCT4-Round4-Rep2	NCP-W601-OCT4-Round4-Rep2
0.673102467267709	NCP-NRCAM-PAX7-Round4-Rep1	NCP-ALB1-PAX7-Round4-Rep1
0.697358707074484	NCP-NRCAM-PAX7-Round4-Rep1	NCP-CX3-PAX7-Round4-Rep1
0.677760844233344	NCP-NRCAM-PAX7-Round4-Rep1	NCP-W601-PAX7-Round4-Rep1
0.876605201429086	NCP-NRCAM-PAX7-Round4-Rep2	NCP-ALB1-PAX7-Round4-Rep2
0.89682270208109	NCP-NRCAM-PAX7-Round4-Rep2	NCP-CX3-PAX7-Round4-Rep2
0.779201041220745	NCP-NRCAM-PAX7-Round4-Rep2	NCP-W601-PAX7-Round4-Rep2
0.694482346189464	NCP-NRCAM-RUNX2-Round4-Rep1	NCP-ALB1-RUNX2-Round4-Rep1
0.732131653968741	NCP-NRCAM-RUNX2-Round4-Rep1	NCP-CX3-RUNX2-Round4-Rep1
0.627682002478064	NCP-NRCAM-RUNX2-Round4-Rep1	NCP-W601-RUNX2-Round4-Rep1
0.591946275967952	NCP-NRCAM-RUNX2-Round4-Rep2	NCP-ALB1-RUNX2-Round4-Rep2
0.628095513501631	NCP-NRCAM-RUNX2-Round4-Rep2	NCP-CX3-RUNX2-Round4-Rep2
0.505282775950194	NCP-NRCAM-RUNX2-Round4-Rep2	NCP-W601-RUNX2-Round4-Rep2
0.786284178948843	NCP-W601-CEBPB-Round4-Rep1	NCP-ALB1-CEBPB-Round4-Rep1
0.769329894508127	NCP-W601-CEBPB-Round4-Rep1	NCP-CX3-CEBPB-Round4-Rep1
0.777257841242597	NCP-W601-CEBPB-Round4-Rep1	NCP-NRCAM-CEBPB-Round4-Rep1
0.908886334305098	NCP-W601-FOXA1-Round4-Rep1	NCP-ALB1-FOXA1-Round4-Rep1
0.887830959505424	NCP-W601-FOXA1-Round4-Rep1	NCP-CX3-FOXA1-Round4-Rep1
0.847286912742513	NCP-W601-FOXA1-Round4-Rep1	NCP-NRCAM-FOXA1-Round4-Rep1
